"TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"Laakdal","13053","Gewestweg",0,1,1,0,0,1,3
"Laarne","42010","Gewestweg",0,0,0,0,1,0,1
"Lanaken","73042","Gewestweg",0,2,1,0,1,1,5
"Landen","24059","Gewestweg",0,0,0,0,0,1,1
"Le Roeulx","55035","Gewestweg",0,0,1,0,0,0,1
"Lede","41034","Gewestweg",0,0,1,0,0,0,1
"Lendelede","34025","Gewestweg",0,1,1,0,0,0,2
"Lennik","23104","Gewestweg",0,0,0,1,0,0,1
"Lens","53046","Gewestweg",1,0,0,1,0,0,2
"Leopoldsburg","71034","Gewestweg",0,1,1,1,0,0,3
"Lessen","51069","Gewestweg",1,1,0,0,0,0,2
"Leuven","24062","Gewestweg",0,1,2,0,0,1,4
"Leuze-en-Hainaut","57094","Gewestweg",2,2,1,1,0,2,8
"Libin","84035","Gewestweg",1,0,1,0,0,0,2
"Libramont-Chevigny","84077","Gewestweg",0,2,1,2,1,0,6
"Lier","12021","Gewestweg",1,1,0,1,2,0,5
"Lierde","45063","Gewestweg",0,1,0,0,1,0,2
"Lierneux","63045","Gewestweg",1,0,0,0,0,0,1
"Lille","13019","Gewestweg",1,0,0,1,1,1,4
"Limburg","63046","Gewestweg",0,0,0,1,0,0,1
"Lobbes","56044","Gewestweg",0,1,0,0,1,0,2
"Lochristi","44034","Gewestweg",0,0,2,0,0,0,2
"Lokeren","46014","Gewestweg",0,1,0,0,1,0,2
"Lommel","72020","Gewestweg",1,3,1,1,2,1,9
"Lubbeek","24066","Gewestweg",1,0,0,0,0,0,1
"Luik","62063","Gewestweg",2,4,7,1,4,1,19
"Lummen","71037","Gewestweg",0,2,0,0,1,0,3
"Maarkedal","45064","Gewestweg",0,0,0,0,0,2,2
"Maaseik","72021","Gewestweg",2,0,4,0,1,1,8
"Machelen (Halle-Vilvoorde)","23047","Gewestweg",1,1,0,0,0,0,2
"Maldegem","43010","Gewestweg",1,2,2,1,1,0,7
"Malle","11057","Gewestweg",2,0,1,0,0,1,4
"Malmedy","63049","Gewestweg",1,0,2,0,3,0,6
"Manage","55086","Gewestweg",0,0,0,2,0,0,2
"Manhay","83055","Gewestweg",1,0,1,0,0,0,2
"Marche-en-Famenne","83034","Gewestweg",2,1,2,2,0,1,8
"Martelange","81013","Gewestweg",0,0,2,0,0,0,2
"Mechelen","12025","Gewestweg",2,0,1,0,0,3,6
"Meerhout","13021","Gewestweg",0,0,0,0,1,0,1
"Meise","23050","Gewestweg",0,0,1,0,1,0,2
"Meix-devant-Virton","85024","Gewestweg",1,0,0,0,0,0,1
"Menen","34027","Gewestweg",2,1,0,1,1,0,5
"Merbes-le-Château","56049","Gewestweg",0,0,1,0,0,0,1
"Merchtem","23052","Gewestweg",0,0,0,0,1,0,1
"Merelbeke","44043","Gewestweg",1,0,0,0,0,0,1
"Messancy","81015","Gewestweg",0,1,1,0,0,0,2
"Mettet","92087","Gewestweg",2,1,1,2,1,2,9
"Meulebeke","37007","Gewestweg",1,1,0,0,0,0,2
"Middelkerke","35011","Gewestweg",0,1,3,0,3,2,9
"Modave","61041","Gewestweg",0,0,0,1,1,1,3
"Moeskroen","57096","Gewestweg",0,0,3,0,0,1,4
"Mol","13025","Gewestweg",2,2,2,3,1,1,11
"Momignies","56051","Gewestweg",0,0,0,2,1,0,3
"Mont-Saint-Guibert","25068","Gewestweg",1,0,0,1,0,0,2
"Mont-de-l’Enclus","57095","Gewestweg",0,2,1,0,0,1,4
"Montigny-le-Tilleul","52048","Gewestweg",0,1,0,0,0,0,1
"Mortsel","11029","Gewestweg",1,0,1,0,0,0,2
"Musson","85026","Gewestweg",0,0,1,0,0,1,2
"Namen","92094","Gewestweg",7,5,2,4,1,4,23
"Nassogne","83040","Gewestweg",0,0,1,1,0,0,2
"Nazareth","44048","Gewestweg",1,1,0,1,0,1,4
"Neufchâteau (Neufchâteau)","84043","Gewestweg",1,2,1,1,0,1,6
"Neupré","62121","Gewestweg",0,0,0,0,0,1,1
"Nieuwpoort","38016","Gewestweg",0,0,0,0,0,1,1
"Nijlen","12026","Gewestweg",0,0,0,0,1,1,2
"Nijvel","25072","Gewestweg",0,1,1,0,2,0,4
"Ninove","41048","Gewestweg",1,0,0,1,0,0,2
"Oerle","64056","Gewestweg",0,1,0,1,0,0,2
"Ohey","92097","Gewestweg",0,2,0,1,0,0,3
"Oostende","35013","Gewestweg",1,1,2,3,3,1,11
"Oosterzele","44052","Gewestweg",0,1,0,1,0,0,2
"Oostkamp","31022","Gewestweg",0,2,0,1,0,0,3
"Oostrozebeke","37010","Gewestweg",1,0,0,0,0,0,1
"Opwijk","23060","Gewestweg",0,0,0,1,1,0,2
"Opzullik","51068","Gewestweg",1,0,1,0,1,0,3
"Oud-Turnhout","13031","Gewestweg",0,0,0,1,0,0,1
"Oudenaarde","45035","Gewestweg",2,1,2,0,2,2,9
"Oudenburg","35014","Gewestweg",0,1,0,1,0,0,2
"Oudergem","21002","Gewestweg",0,0,0,0,1,0,1
"Oudsbergen","72042","Gewestweg",0,1,2,0,0,1,4
"Ouffet","61048","Gewestweg",0,0,0,2,0,0,2
"Oupeye","62079","Gewestweg",0,1,0,1,0,2,4
"Overijse","23062","Gewestweg",0,1,0,0,0,1,2
"Paliseul","84050","Gewestweg",0,0,0,1,1,0,2
"Pecq","57062","Gewestweg",0,0,1,0,0,0,1
"Peer","72030","Gewestweg",1,1,0,1,0,1,4
"Pelt","72043","Gewestweg",0,2,2,2,4,1,11
"Pepingen","23064","Gewestweg",0,1,0,0,0,1,2
"Pepinster","63058","Gewestweg",2,0,0,0,0,0,2
"Perwijs (Nijvel)","25084","Gewestweg",0,0,2,0,0,0,2
"Philippeville","93056","Gewestweg",2,1,3,1,3,2,12
"Pittem","37011","Gewestweg",0,0,0,0,0,1,1
"Plombières","63088","Gewestweg",1,0,1,1,0,0,3
"Poperinge","33021","Gewestweg",1,1,0,0,0,0,2
"Profondeville","92101","Gewestweg",2,0,1,2,2,0,7
"Putte","12029","Gewestweg",1,0,0,0,0,0,1
"Puurs-Sint-Amands","12041","Gewestweg",1,1,0,1,0,2,5
"Péruwelz","57064","Gewestweg",0,0,1,0,0,1,2
"Quaregnon","53065","Gewestweg",1,0,1,0,0,0,2
"Quiévrain","53068","Gewestweg",1,0,0,1,0,1,3
"Quévy","53084","Gewestweg",1,5,3,1,1,0,11
"Ranst","11035","Gewestweg",0,1,0,0,0,0,1
"Ravels","13035","Gewestweg",3,0,0,0,1,0,4
"Rebecq","25123","Gewestweg",0,1,0,0,0,1,2
"Rendeux","83044","Gewestweg",1,0,0,0,0,0,1
"Retie","13036","Gewestweg",0,0,1,2,2,0,5
"Riemst","73066","Gewestweg",1,1,0,1,0,0,3
"Rijkevorsel","13037","Gewestweg",0,1,0,0,0,0,1
"Rochefort","91114","Gewestweg",1,0,1,0,2,0,4
"Roeselare","36015","Gewestweg",0,2,0,3,2,4,11
"Ronse","45041","Gewestweg",0,0,0,1,0,0,1
"Roosdaal","23097","Gewestweg",0,0,1,0,0,0,1
"Rotselaar","24094","Gewestweg",0,0,1,0,0,0,1
"Rouvroy","85047","Gewestweg",1,0,0,1,0,0,2
"Rumes","57072","Gewestweg",0,0,1,0,0,0,1
"Rumst","11037","Gewestweg",2,0,0,1,0,0,3
"Saint-Ghislain","53070","Gewestweg",2,1,2,0,1,0,6
"Saint-Hubert","84059","Gewestweg",1,0,1,0,0,1,3
"Saint-Nicolas (Luik)","62093","Gewestweg",0,1,0,0,0,0,1
"Sambreville","92137","Gewestweg",0,1,0,0,1,1,3
"Sankt Vith","63067","Gewestweg",0,3,3,0,0,0,6
"Schaarbeek","21015","Gewestweg",2,1,0,0,2,1,6
"Schelle","11038","Gewestweg",0,0,0,0,0,1,1
"Scherpenheuvel-Zichem","24134","Gewestweg",1,0,0,0,0,1,2
"Schilde","11039","Gewestweg",1,1,0,0,1,0,3
"Schoten","11040","Gewestweg",0,1,1,0,0,0,2
"Seneffe","55085","Gewestweg",0,0,0,1,0,0,1
"Seraing","62096","Gewestweg",0,2,0,1,3,0,6
"Sint-Agatha-Berchem","21003","Gewestweg",1,0,0,0,0,0,1
"Sint-Genesius-Rode","23101","Gewestweg",0,0,1,0,0,0,1
"Sint-Gillis","21013","Gewestweg",1,0,1,0,0,1,3
"Sint-Gillis-Waas","46020","Gewestweg",1,0,0,0,0,0,1
"Sint-Jans-Molenbeek","21012","Gewestweg",0,1,1,0,3,1,6
"Sint-Katelijne-Waver","12035","Gewestweg",1,0,1,0,0,0,2
"Sint-Lievens-Houtem","41063","Gewestweg",0,0,1,0,0,0,1
"Sint-Martens-Latem","44064","Gewestweg",2,0,1,0,0,0,3
"Sint-Niklaas (Sint-Niklaas)","46021","Gewestweg",0,1,1,1,3,1,7
"Sint-Pieters-Leeuw","23077","Gewestweg",0,0,0,0,0,1,1
"Sint-Pieters-Woluwe","21019","Gewestweg",0,1,0,2,0,0,3
"Sint-Truiden","71053","Gewestweg",2,4,3,3,1,3,16
"Sombreffe","92114","Gewestweg",1,0,1,0,1,1,4
"Somme-Leuze","91120","Gewestweg",0,0,1,0,2,3,6
"Soumagne","62099","Gewestweg",0,0,0,0,1,1,2
"Spa","63072","Gewestweg",0,1,0,0,1,0,2
"Spiere-Helkijn","34043","Gewestweg",1,0,2,0,0,1,4
"Sprimont","62100","Gewestweg",3,2,1,0,2,1,9
"Staden","36019","Gewestweg",2,0,0,0,0,0,2
"Stavelot","63073","Gewestweg",2,1,0,0,0,0,3
"Steenokkerzeel","23081","Gewestweg",1,0,0,0,0,1,2
"Stekene","46024","Gewestweg",0,1,0,0,1,0,2
"Stoumont","63075","Gewestweg",1,1,1,0,0,1,4
"Tellin","84068","Gewestweg",1,0,0,0,1,0,2
"Tenneville","83049","Gewestweg",1,1,0,2,0,0,4
"Terhulpen","25050","Gewestweg",0,0,0,2,0,1,3
"Ternat","23086","Gewestweg",1,0,0,0,0,0,1
"Tessenderlo","71057","Gewestweg",1,1,1,0,0,0,3
"Theux","63076","Gewestweg",1,0,1,1,0,0,3
"Thimister-Clermont","63089","Gewestweg",1,2,0,1,0,1,5
"Thuin","56078","Gewestweg",1,1,3,0,1,1,7
"Tielt (Tielt)","37015","Gewestweg",0,4,2,0,0,1,7
"Tielt-Winge","24135","Gewestweg",0,0,1,0,1,1,3
"Tienen","24107","Gewestweg",1,0,0,1,2,0,4
"Tinlot","61081","Gewestweg",0,0,0,0,0,1,1
"Tintigny","85039","Gewestweg",0,0,0,0,2,0,2
"Tongeren","73083","Gewestweg",0,0,0,2,2,1,5
"Torhout","31033","Gewestweg",0,1,0,0,1,1,3
"Trooz","62122","Gewestweg",1,0,0,0,0,0,1
"Tubeke","25105","Gewestweg",1,0,1,1,0,0,3
"Turnhout","13040","Gewestweg",1,1,0,0,1,2,5
"Ukkel","21016","Gewestweg",1,0,0,0,1,0,2
"Vaux-sur-Sûre","82036","Gewestweg",2,0,0,0,0,0,2
"Verviers","63079","Gewestweg",1,1,1,1,1,1,6
"Veurne","38025","Gewestweg",1,0,1,0,1,1,4
"Vielsalm","82032","Gewestweg",2,1,0,0,0,2,5
"Villers-Le-Bouillet","61068","Gewestweg",3,0,0,0,0,0,3
"Villers-la-Ville","25107","Gewestweg",0,2,0,0,0,0,2
"Vilvoorde","23088","Gewestweg",0,0,0,1,0,1,2
"Viroinval","93090","Gewestweg",1,0,1,0,1,0,3
"Virton","85045","Gewestweg",1,2,1,1,0,0,5
"Vleteren","33041","Gewestweg",0,1,0,0,2,0,3
"Vorst (Brussel-Hoofdstad)","21007","Gewestweg",0,0,1,0,0,1,2
"Vosselaar","13046","Gewestweg",0,0,1,0,0,0,1
"Vresse-sur-Semois","91143","Gewestweg",1,0,1,0,1,0,3
"Wachtebeke","44073","Gewestweg",0,2,1,0,0,0,3
"Walcourt","93088","Gewestweg",1,4,1,0,2,2,10
"Walhain","25124","Gewestweg",0,1,0,0,0,1,2
"Wanze","61072","Gewestweg",0,0,0,0,0,2,2
"Waregem","34040","Gewestweg",1,0,2,0,0,1,4
"Wasseiges","64075","Gewestweg",0,1,0,0,1,0,2
"Waterloo","25110","Gewestweg",2,0,0,1,0,0,3
"Waver","25112","Gewestweg",1,2,1,0,1,1,6
"Weismes","63080","Gewestweg",1,0,0,2,0,1,4
"Welkenraedt","63084","Gewestweg",0,0,1,0,0,0,1
"Wellen","73098","Gewestweg",0,1,0,0,0,1,2
"Wervik","33029","Gewestweg",2,1,0,0,1,0,4
"Westerlo","13049","Gewestweg",1,0,0,1,0,0,2
"Wetteren","42025","Gewestweg",1,0,0,0,0,0,1
"Wevelgem","34041","Gewestweg",0,2,0,0,0,0,2
"Wezembeek-Oppem","23103","Gewestweg",2,0,0,0,0,0,2
"Wezet","62108","Gewestweg",0,0,0,1,0,0,1
"Wichelen","42026","Gewestweg",0,0,1,0,1,0,2
"Wielsbeke","37017","Gewestweg",0,0,0,1,0,0,1
"Wijnegem","11050","Gewestweg",1,0,1,0,0,0,2
"Wortegem-Petegem","45061","Gewestweg",0,1,0,0,0,0,1
"Yvoir","91141","Gewestweg",0,0,0,1,0,0,1
"Zandhoven","11054","Gewestweg",3,0,0,0,0,0,3
"Zaventem","23094","Gewestweg",1,0,3,1,0,0,5
"Zedelgem","31040","Gewestweg",0,3,0,1,3,0,7
"Zele","42028","Gewestweg",0,0,0,0,1,1,2
"Zelzate","43018","Gewestweg",0,1,0,0,0,0,1
"Zemst","23096","Gewestweg",1,0,0,0,0,0,1
"Zinnik","55040","Gewestweg",2,1,0,2,1,0,6
"Zoersel","11055","Gewestweg",1,0,1,0,1,0,3
"Zonhoven","71066","Gewestweg",0,2,1,1,1,1,6
"Zonnebeke","33037","Gewestweg",1,0,0,0,0,0,1
"Zottegem","41081","Gewestweg",1,0,0,2,1,0,4
"Zoutleeuw","24130","Gewestweg",0,1,0,0,0,0,1
"Zuienkerke","31042","Gewestweg",2,0,0,0,0,1,3
"Zulte","44081","Gewestweg",0,0,1,0,1,0,2
"Zutendaal","71067","Gewestweg",0,0,0,0,1,0,1
"Zwalm","45065","Gewestweg",2,0,0,3,0,0,5
"Zwevegem","34042","Gewestweg",0,0,0,1,1,1,3
"Zwijndrecht","11056","Gewestweg",1,0,1,0,0,0,2
"’s Gravenbrakel","55004","Gewestweg",3,0,0,1,0,2,6
