"","TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"1","Aalst (Aalst)","41002","Autosnelweg",1,0,0,0,0,0,1
"2","Aalst (Aalst)","41002","Gemeenteweg",1,1,1,1,2,0,6
"3","Aalst (Aalst)","41002","Gewestweg",1,0,2,1,2,0,6
"4","Aalter","44084","Autosnelweg",0,0,2,0,2,1,4
"5","Aalter","44084","Gewestweg",2,0,1,1,1,0,5
"6","Aarlen","81001","Autosnelweg",0,3,1,0,0,0,4
"7","Aarlen","81001","Gemeenteweg",0,1,0,0,1,0,2
"8","Aarlen","81001","Gewestweg",0,1,3,1,1,1,6
"9","Aarschot","24001","Gemeenteweg",0,0,2,2,0,1,4
"10","Aarschot","24001","Gewestweg",2,1,1,0,2,0,6
"11","Aarschot","24001","onbekend",0,0,1,0,0,0,1
"12","Aartselaar","11001","Autosnelweg",0,0,1,0,0,1,1
"13","Aartselaar","11001","Gemeenteweg",0,0,2,0,0,1,2
"14","Aartselaar","11001","Gewestweg",0,0,0,1,0,0,1
"15","Aat","51004","Autosnelweg",1,0,0,0,0,0,1
"16","Aat","51004","Gemeenteweg",0,0,2,1,0,0,3
"17","Aat","51004","Gewestweg",1,4,3,0,1,2,9
"18","Affligem","23105","Autosnelweg",0,0,0,1,0,0,1
"19","Affligem","23105","Gewestweg",0,1,0,0,0,1,1
"20","Aiseau-Presles","52074","Gemeenteweg",0,2,1,0,0,0,3
"21","Alken","73001","Gewestweg",1,0,0,0,0,0,1
"22","Alveringem","38002","Gewestweg",0,0,0,0,1,2,1
"23","Amay","61003","Gemeenteweg",0,1,0,0,0,0,1
"24","Amay","61003","Gewestweg",1,0,2,1,0,3,4
"25","Amel","63001","Gemeenteweg",1,0,0,1,0,0,2
"26","Andenne","92003","Gemeenteweg",0,0,0,1,1,0,2
"27","Andenne","92003","Gewestweg",0,2,1,2,2,1,7
"28","Andenne","92003","onbekend",1,0,0,0,0,0,1
"29","Anderlecht","21001","Autosnelweg",0,0,1,2,0,0,3
"30","Anderlecht","21001","Gemeenteweg",2,0,2,3,1,0,8
"31","Anderlecht","21001","Gewestweg",0,3,1,0,1,0,5
"32","Anderlues","56001","Gemeenteweg",0,0,0,1,0,1,1
"33","Anderlues","56001","Gewestweg",0,0,1,0,0,0,1
"34","Anhée","91005","Gemeenteweg",0,0,0,0,1,1,1
"35","Anhée","91005","Gewestweg",2,0,0,1,2,1,5
"36","Ans","62003","Autosnelweg",0,1,1,0,2,0,4
"37","Ans","62003","Gemeenteweg",1,0,1,0,0,1,2
"38","Ans","62003","Gewestweg",0,0,0,0,0,1,0
"39","Antoing","57003","Gewestweg",2,0,0,0,1,0,3
"40","Antwerpen","11002","Autosnelweg",2,3,2,2,3,5,12
"41","Antwerpen","11002","Gemeenteweg",9,5,4,5,6,12,29
"42","Antwerpen","11002","Gewestweg",6,7,6,6,2,2,27
"43","Antwerpen","11002","onbekend",1,0,0,0,0,0,1
"44","Ardooie","37020","Autosnelweg",0,0,2,1,0,1,3
"45","Ardooie","37020","Gemeenteweg",0,2,1,0,1,0,4
"46","Ardooie","37020","Gewestweg",0,0,0,1,0,0,1
"47","Arendonk","13001","Gewestweg",0,1,1,1,0,0,3
"48","As","71002","Gemeenteweg",0,0,0,1,0,0,1
"49","Asse","23002","Autosnelweg",0,0,0,0,1,0,1
"50","Asse","23002","Gemeenteweg",0,1,0,1,3,1,5
"51","Asse","23002","Gewestweg",1,0,0,1,0,0,2
"52","Assenede","43002","Gemeenteweg",2,0,0,3,1,0,6
"53","Assenede","43002","Gewestweg",1,1,0,0,0,0,2
"54","Assesse","92006","Autosnelweg",0,0,0,1,0,0,1
"55","Assesse","92006","Gewestweg",2,0,0,1,0,0,3
"56","Aubange","81004","Gemeenteweg",0,0,1,0,0,0,1
"57","Aubange","81004","Gewestweg",0,0,2,1,0,0,3
"58","Aubange","81004","onbekend",0,1,0,0,0,0,1
"59","Awans","62006","Autosnelweg",0,1,1,1,0,0,3
"60","Awans","62006","Gemeenteweg",0,0,0,1,0,0,1
"61","Awans","62006","Gewestweg",0,1,0,0,0,0,1
"62","Aywaille","62009","Autosnelweg",0,1,0,1,0,0,2
"63","Aywaille","62009","Gemeenteweg",1,0,0,0,0,0,1
"64","Aywaille","62009","Gewestweg",1,0,0,0,2,1,3
"65","Baelen","63004","Autosnelweg",1,0,0,0,0,0,1
"66","Baelen","63004","Gewestweg",1,0,1,2,1,0,5
"67","Balen","13003","Gemeenteweg",1,1,0,1,2,0,5
"68","Balen","13003","Gewestweg",0,0,1,0,0,0,1
"69","Bastenaken","82003","Autosnelweg",0,0,0,0,0,1,0
"70","Bastenaken","82003","Gewestweg",0,0,1,1,2,0,4
"71","Beaumont","56005","Gemeenteweg",0,3,0,0,0,0,3
"72","Beaumont","56005","Gewestweg",1,1,2,0,2,2,6
"73","Beauraing","91013","Gemeenteweg",1,1,2,0,0,0,4
"74","Beauraing","91013","Gewestweg",0,2,2,3,1,1,8
"75","Beernem","31003","Autosnelweg",0,0,0,0,2,0,2
"76","Beernem","31003","Gemeenteweg",2,0,0,1,0,0,3
"77","Beerse","13004","Gemeenteweg",1,0,0,0,0,1,1
"78","Beerse","13004","Gewestweg",0,0,1,0,0,0,1
"79","Beersel","23003","Autosnelweg",1,0,0,0,1,0,2
"80","Beersel","23003","Gemeenteweg",1,0,1,0,1,1,3
"81","Begijnendijk","24007","Gemeenteweg",0,0,0,1,1,0,2
"82","Bekkevoort","24008","Autosnelweg",1,1,0,0,0,0,2
"83","Bekkevoort","24008","Gemeenteweg",0,0,1,0,0,0,1
"84","Bekkevoort","24008","Gewestweg",1,0,0,1,0,1,2
"85","Beloeil","51008","Gemeenteweg",0,0,1,1,1,1,3
"86","Beloeil","51008","Gewestweg",2,1,3,1,0,0,7
"87","Bergen","53053","Autosnelweg",2,2,2,4,0,1,10
"88","Bergen","53053","Gemeenteweg",2,2,4,2,0,1,10
"89","Bergen","53053","Gewestweg",3,1,3,1,1,7,9
"90","Beringen","71004","Autosnelweg",0,0,1,0,1,0,2
"91","Beringen","71004","Gemeenteweg",0,0,0,0,1,1,1
"92","Beringen","71004","Gewestweg",1,3,0,1,1,0,6
"93","Berlaar","12002","Gemeenteweg",0,0,0,0,1,1,1
"94","Berlare","42003","Autosnelweg",0,1,0,0,0,0,1
"95","Berlare","42003","Gemeenteweg",1,0,0,0,1,0,2
"96","Berlare","42003","Gewestweg",1,0,1,1,1,0,4
"97","Berloz","64008","Autosnelweg",1,0,0,0,0,0,1
"98","Bernissart","51009","Gemeenteweg",1,0,0,0,1,0,2
"99","Bernissart","51009","Gewestweg",1,1,0,1,0,1,3
"100","Bertem","24009","Gemeenteweg",0,1,1,0,0,1,2
"101","Bertogne","82005","Autosnelweg",0,0,0,0,0,1,0
"102","Bertogne","82005","Gewestweg",0,1,2,0,1,0,4
"103","Bertrix","84009","Gemeenteweg",2,1,0,1,0,2,4
"104","Bertrix","84009","Gewestweg",2,0,0,2,1,2,5
"105","Bevekom","25005","Gewestweg",0,0,1,0,1,0,2
"106","Beveren (Sint-Niklaas)","46003","Autosnelweg",1,1,1,1,1,2,5
"107","Beveren (Sint-Niklaas)","46003","Gemeenteweg",1,2,1,3,1,5,8
"108","Beveren (Sint-Niklaas)","46003","Gewestweg",0,1,0,1,1,0,3
"109","Bierbeek","24011","Autosnelweg",1,0,0,0,0,0,1
"110","Bilzen","73006","Gemeenteweg",0,1,1,0,0,0,2
"111","Bilzen","73006","Gewestweg",1,0,0,1,0,2,2
"112","Binche","58002","Gemeenteweg",0,1,1,0,0,0,2
"113","Binche","58002","Gewestweg",1,0,0,1,1,0,3
"114","Binche","58002","onbekend",2,0,0,0,0,0,2
"115","Bitsingen","62011","Autosnelweg",1,0,0,1,0,0,2
"116","Bitsingen","62011","Gemeenteweg",0,0,1,2,0,0,3
"117","Bitsingen","62011","Gewestweg",0,1,0,0,0,1,1
"118","Bitsingen","62011","onbekend",0,0,0,0,1,0,1
"119","Bièvre","91015","Gemeenteweg",0,0,1,0,0,0,1
"120","Blankenberge","31004","Gemeenteweg",0,1,0,0,1,0,2
"121","Blankenberge","31004","Gewestweg",1,0,0,1,0,0,2
"122","Blegny","62119","Autosnelweg",0,0,0,0,0,1,0
"123","Blegny","62119","Gemeenteweg",0,1,0,1,0,0,2
"124","Bocholt","72003","Gewestweg",1,0,2,1,0,0,4
"125","Boechout","11004","Gewestweg",0,0,0,1,0,0,1
"126","Bonheiden","12005","Gemeenteweg",0,0,0,0,1,0,1
"127","Bonheiden","12005","Gewestweg",0,0,0,0,1,0,1
"128","Boom","11005","Autosnelweg",0,0,0,0,1,1,1
"129","Boortmeerbeek","24014","Gemeenteweg",0,0,1,0,0,0,1
"130","Boortmeerbeek","24014","Gewestweg",0,1,0,0,0,0,1
"131","Borgloon","73009","Gemeenteweg",2,0,0,0,1,0,3
"132","Borgloon","73009","Gewestweg",0,1,1,0,0,0,2
"133","Borgworm","64074","Autosnelweg",2,0,0,1,0,1,3
"134","Borgworm","64074","Gemeenteweg",1,2,0,0,0,0,3
"135","Borgworm","64074","Gewestweg",1,0,0,0,0,0,1
"136","Bornem","12007","Gemeenteweg",0,2,1,0,0,2,3
"137","Bornem","12007","Gewestweg",1,0,1,0,0,1,2
"138","Bouillon","84010","Gewestweg",1,0,2,0,0,0,3
"139","Boussu","53014","Gewestweg",0,1,1,0,3,0,5
"140","Boutersem","24016","Gewestweg",0,0,0,0,0,1,0
"141","Braives","64015","Gemeenteweg",0,0,0,0,0,1,0
"142","Braives","64015","Gewestweg",0,1,0,0,1,0,2
"143","Brakel","45059","Gewestweg",0,1,1,1,0,0,3
"144","Brasschaat","11008","Gemeenteweg",0,0,1,0,1,1,2
"145","Brasschaat","11008","Gewestweg",1,0,0,0,0,2,1
"146","Brecht","11009","Autosnelweg",2,3,0,1,0,0,6
"147","Brecht","11009","Gemeenteweg",0,0,0,0,0,1,0
"148","Brecht","11009","Gewestweg",3,2,1,3,1,1,10
"149","Bredene","35002","Gewestweg",0,0,1,0,0,1,1
"150","Bree","72004","Gemeenteweg",0,2,0,0,1,1,3
"151","Bree","72004","Gewestweg",2,1,2,2,0,4,7
"152","Brugge","31005","Autosnelweg",1,0,0,0,2,1,3
"153","Brugge","31005","Gemeenteweg",0,1,2,3,1,3,7
"154","Brugge","31005","Gewestweg",6,3,4,0,4,3,17
"155","Brugge","31005","onbekend",0,0,0,0,1,0,1
"156","Brunehaut","57093","Gemeenteweg",0,0,1,0,0,0,1
"157","Brussel","21004","Autosnelweg",0,0,1,1,0,0,2
"158","Brussel","21004","Gemeenteweg",4,2,4,1,2,1,13
"159","Brussel","21004","Gewestweg",4,3,3,2,6,2,18
"160","Brussel","21004","onbekend",1,0,0,0,0,0,1
"161","Buggenhout","42004","Gemeenteweg",0,0,1,0,0,0,1
"162","Buggenhout","42004","Gewestweg",0,0,0,0,1,0,1
"163","Burdinne","61010","Gewestweg",0,0,0,0,0,1,0
"164","Burg-Reuland","63087","Gemeenteweg",1,0,1,0,1,1,3
"165","Burg-Reuland","63087","Gewestweg",1,0,0,0,0,0,1
"166","Büllingen","63012","Gemeenteweg",0,0,1,0,0,0,1
"167","Büllingen","63012","Gewestweg",0,0,0,2,1,0,3
"168","Bütgenbach","63013","Gemeenteweg",0,1,0,0,0,0,1
"169","Bütgenbach","63013","Gewestweg",0,2,0,0,1,0,3
"170","Celles (Doornik)","57018","Autosnelweg",0,0,1,0,1,0,2
"171","Cerfontaine","93010","Gemeenteweg",1,0,0,0,0,0,1
"172","Cerfontaine","93010","Gewestweg",0,2,0,1,1,0,4
"173","Chapelle-lez-Herlaimont","52010","Autosnelweg",0,0,0,1,0,0,1
"174","Chapelle-lez-Herlaimont","52010","Gemeenteweg",1,0,0,0,1,0,2
"175","Chapelle-lez-Herlaimont","52010","Gewestweg",2,0,0,0,0,0,2
"176","Charleroi","52011","Autosnelweg",1,1,4,1,1,2,8
"177","Charleroi","52011","Gemeenteweg",2,2,3,8,5,1,20
"178","Charleroi","52011","Gewestweg",1,3,4,0,3,4,11
"179","Chaudfontaine","62022","Autosnelweg",1,0,0,0,0,0,1
"180","Chaudfontaine","62022","Gemeenteweg",0,0,0,0,0,1,0
"181","Chaudfontaine","62022","Gewestweg",1,0,1,1,1,0,4
"182","Chaumont-Gistoux","25018","Autosnelweg",0,0,0,0,1,0,1
"183","Chaumont-Gistoux","25018","Gewestweg",1,0,0,1,1,0,3
"184","Chimay","56016","Gemeenteweg",0,1,1,0,1,1,3
"185","Chimay","56016","Gewestweg",1,2,0,2,0,2,5
"186","Chiny","85007","Gemeenteweg",0,0,1,0,0,0,1
"187","Chiny","85007","Gewestweg",0,1,0,0,3,0,4
"188","Chièvres","51014","Gemeenteweg",1,0,0,0,0,0,1
"189","Chièvres","51014","Gewestweg",0,0,0,0,1,1,1
"190","Châtelet","52012","Autosnelweg",2,2,0,0,0,0,4
"191","Châtelet","52012","Gewestweg",1,1,1,0,3,0,6
"192","Ciney","91030","Gemeenteweg",2,1,1,0,0,0,4
"193","Ciney","91030","Gewestweg",2,0,1,2,5,0,10
"194","Clavier","61012","Gemeenteweg",0,0,1,0,0,0,1
"195","Clavier","61012","Gewestweg",0,2,1,1,0,0,4
"196","Colfontaine","53082","Gemeenteweg",0,0,0,0,1,0,1
"197","Comblain-au-Pont","62026","Gewestweg",0,0,1,1,1,0,3
"198","Courcelles","52015","Autosnelweg",0,0,1,0,0,1,1
"199","Courcelles","52015","Gemeenteweg",1,0,0,0,1,0,2
"200","Courcelles","52015","Gewestweg",1,0,0,2,1,0,4
"201","Court-Saint-Etienne","25023","Gemeenteweg",0,1,0,0,0,0,1
"202","Court-Saint-Etienne","25023","Gewestweg",0,0,0,0,1,2,1
"203","Couvin","93014","Gemeenteweg",0,1,0,0,1,0,2
"204","Couvin","93014","Gewestweg",3,1,1,0,1,0,6
"205","Crisnée","64021","Gemeenteweg",0,0,0,0,0,1,0
"206","Crisnée","64021","Gewestweg",1,1,0,0,0,0,2
"207","Dalhem","62027","Gemeenteweg",1,0,0,0,0,0,1
"208","Dalhem","62027","Gewestweg",0,1,0,0,0,0,1
"209","Damme","31006","Autosnelweg",0,0,1,0,0,0,1
"210","Damme","31006","Gemeenteweg",0,2,3,1,1,0,7
"211","Damme","31006","Gewestweg",0,1,0,0,0,0,1
"212","De Haan","35029","Gemeenteweg",0,1,0,0,0,0,1
"213","De Haan","35029","Gewestweg",0,0,0,0,2,1,2
"214","De Panne","38008","Autosnelweg",0,0,0,0,1,0,1
"215","De Panne","38008","Gemeenteweg",1,0,0,0,0,0,1
"216","De Panne","38008","Gewestweg",2,0,1,0,0,0,3
"217","De Pinte","44012","Autosnelweg",1,0,0,1,0,0,2
"218","De Pinte","44012","Gemeenteweg",0,0,0,0,1,0,1
"219","Deerlijk","34009","Autosnelweg",1,0,0,0,0,0,1
"220","Deerlijk","34009","Gemeenteweg",0,1,1,0,0,0,2
"221","Deerlijk","34009","Gewestweg",1,0,0,0,0,0,1
"222","Deinze","44083","Autosnelweg",0,1,1,0,0,0,2
"223","Deinze","44083","Gemeenteweg",2,1,1,1,0,0,5
"224","Deinze","44083","Gewestweg",0,1,0,0,0,0,1
"225","Dendermonde","42006","Gemeenteweg",0,1,0,1,0,1,2
"226","Dendermonde","42006","Gewestweg",0,1,1,0,1,1,3
"227","Dentergem","37002","Gemeenteweg",2,0,0,2,0,1,4
"228","Dentergem","37002","Gewestweg",0,0,0,0,1,0,1
"229","Dessel","13006","Gemeenteweg",0,0,1,0,0,0,1
"230","Dessel","13006","Gewestweg",1,0,0,0,0,0,1
"231","Destelbergen","44013","Autosnelweg",0,0,1,2,0,0,3
"232","Destelbergen","44013","Gemeenteweg",1,0,1,0,0,2,2
"233","Destelbergen","44013","Gewestweg",0,0,1,0,0,0,1
"234","Diepenbeek","71011","Autosnelweg",0,1,0,1,0,0,2
"235","Diepenbeek","71011","Gemeenteweg",0,0,0,1,0,1,1
"236","Diepenbeek","71011","Gewestweg",1,0,0,1,0,0,2
"237","Diest","24020","Gemeenteweg",0,0,2,0,0,0,2
"238","Diest","24020","Gewestweg",1,0,1,0,2,1,4
"239","Diksmuide","32003","Gemeenteweg",0,2,0,0,0,0,2
"240","Diksmuide","32003","Gewestweg",1,2,0,0,0,1,3
"241","Dilbeek","23016","Autosnelweg",1,0,0,1,0,1,2
"242","Dilbeek","23016","Gemeenteweg",0,0,1,1,0,0,2
"243","Dilbeek","23016","Gewestweg",0,0,1,0,0,0,1
"244","Dilsen-Stokkem","72041","Gemeenteweg",1,1,0,1,0,2,3
"245","Dilsen-Stokkem","72041","Gewestweg",1,0,1,0,2,1,4
"246","Dinant","91034","Gemeenteweg",0,0,1,0,0,1,1
"247","Dinant","91034","Gewestweg",1,0,1,4,1,2,7
"248","Dison","63020","Gemeenteweg",0,2,0,0,0,0,2
"249","Dison","63020","Gewestweg",0,0,0,0,1,0,1
"250","Doische","93018","Gemeenteweg",0,0,0,0,1,0,1
"251","Doische","93018","Gewestweg",0,2,0,1,0,0,3
"252","Donceel","64023","Gemeenteweg",0,1,0,0,0,0,1
"253","Doornik","57081","Autosnelweg",4,2,2,2,1,2,11
"254","Doornik","57081","Gemeenteweg",1,2,2,2,1,3,8
"255","Doornik","57081","Gewestweg",4,2,2,0,1,2,9
"256","Doornik","57081","onbekend",0,0,0,1,0,0,1
"257","Dour","53020","Gemeenteweg",1,0,0,0,2,0,3
"258","Dour","53020","Gewestweg",0,0,1,0,0,0,1
"259","Drogenbos","23098","Autosnelweg",0,0,1,0,0,0,1
"260","Drogenbos","23098","Gewestweg",0,0,1,0,0,0,1
"261","Duffel","12009","Gemeenteweg",0,0,1,0,0,0,1
"262","Duffel","12009","Gewestweg",0,0,1,0,0,0,1
"263","Durbuy","83012","Gewestweg",0,3,3,0,0,2,6
"264","Ecaussinnes","55050","Gemeenteweg",0,1,0,0,0,0,1
"265","Ecaussinnes","55050","Gewestweg",0,1,0,0,0,0,1
"266","Edegem","11013","Autosnelweg",0,1,0,0,0,1,1
"267","Edegem","11013","Gemeenteweg",0,1,0,0,0,1,1
"268","Edegem","11013","Gewestweg",0,0,0,3,1,0,4
"269","Edingen","51067","Autosnelweg",0,0,0,1,0,0,1
"270","Edingen","51067","Gemeenteweg",0,1,0,0,0,0,1
"271","Eeklo","43005","Gemeenteweg",0,1,0,0,0,0,1
"272","Eeklo","43005","Gewestweg",0,2,2,0,0,1,4
"273","Eghezée","92035","Autosnelweg",0,0,0,1,0,0,1
"274","Eghezée","92035","Gewestweg",4,2,0,1,2,0,9
"275","Eigenbrakel","25014","Autosnelweg",0,0,1,0,0,1,1
"276","Eigenbrakel","25014","Gemeenteweg",0,0,0,2,0,1,2
"277","Eigenbrakel","25014","Gewestweg",1,0,0,0,0,1,1
"278","Elsene","21009","Gemeenteweg",1,3,1,0,1,0,6
"279","Elsene","21009","Gewestweg",0,1,0,0,0,0,1
"280","Elzele","51017","Gewestweg",1,1,0,0,1,0,3
"281","Engis","61080","Gemeenteweg",0,0,1,0,0,0,1
"282","Engis","61080","Gewestweg",0,1,1,0,0,2,2
"283","Erezée","83013","Gewestweg",0,0,0,0,0,1,0
"284","Erpe-Mere","41082","Autosnelweg",0,0,0,0,0,1,0
"285","Erpe-Mere","41082","Gewestweg",0,0,0,1,0,1,1
"286","Erquelinnes","56022","Gemeenteweg",1,1,0,1,1,0,4
"287","Erquelinnes","56022","Gewestweg",5,2,1,0,0,2,8
"288","Esneux","62032","Autosnelweg",1,0,0,0,0,0,1
"289","Esneux","62032","Gemeenteweg",0,0,0,1,0,0,1
"290","Esneux","62032","Gewestweg",0,2,3,0,1,0,6
"291","Essen","11016","Gemeenteweg",0,0,1,0,1,0,2
"292","Essen","11016","Gewestweg",1,0,0,0,0,0,1
"293","Estaimpuis","57027","Autosnelweg",0,0,1,0,1,0,2
"294","Estaimpuis","57027","Gemeenteweg",0,0,0,0,1,0,1
"295","Estaimpuis","57027","Gewestweg",0,0,0,1,0,0,1
"296","Estinnes","58003","Gemeenteweg",0,0,0,1,0,0,1
"297","Estinnes","58003","Gewestweg",0,4,2,1,1,1,8
"298","Etalle","85009","Gewestweg",0,0,1,0,2,0,3
"299","Etterbeek","21005","Gewestweg",1,0,0,0,0,0,1
"300","Eupen","63023","Gemeenteweg",0,1,0,0,1,0,2
"301","Eupen","63023","Gewestweg",1,1,2,2,1,0,7
"302","Eupen","63023","onbekend",0,0,0,1,0,0,1
"303","Evere","21006","Autosnelweg",0,0,0,1,0,0,1
"304","Evere","21006","Gemeenteweg",1,1,0,0,0,0,2
"305","Evergem","44019","Gemeenteweg",2,1,0,0,0,0,3
"306","Evergem","44019","Gewestweg",1,0,2,0,0,0,3
"307","Faimes","64076","Gewestweg",0,1,1,0,0,0,2
"308","Farciennes","52018","Gemeenteweg",1,0,0,0,1,0,2
"309","Farciennes","52018","Gewestweg",1,0,2,0,0,1,3
"310","Fernelmont","92138","Autosnelweg",0,0,0,0,1,0,1
"311","Fernelmont","92138","Gewestweg",0,0,4,1,0,2,5
"312","Ferrières","61019","Autosnelweg",0,0,1,0,0,0,1
"313","Ferrières","61019","Gewestweg",1,1,0,0,0,0,2
"314","Fexhe-le-Haut-Clocher","64025","Gewestweg",0,1,0,0,0,0,1
"315","Fleurus","52021","Autosnelweg",2,2,2,0,1,0,7
"316","Fleurus","52021","Gemeenteweg",0,0,0,1,0,0,1
"317","Fleurus","52021","Gewestweg",2,0,0,1,0,0,3
"318","Floreffe","92045","Gewestweg",0,0,0,0,1,0,1
"319","Florennes","93022","Gemeenteweg",0,0,0,0,0,1,0
"320","Florennes","93022","Gewestweg",2,1,0,1,0,0,4
"321","Florenville","85011","Gemeenteweg",0,0,1,0,1,1,2
"322","Florenville","85011","Gewestweg",1,0,0,3,2,1,6
"323","Flémalle","62120","Autosnelweg",0,1,0,0,0,0,1
"324","Flémalle","62120","Gemeenteweg",2,0,2,0,0,0,4
"325","Flémalle","62120","Gewestweg",2,0,1,1,0,0,4
"326","Fontaine-l’Evêque","52022","Autosnelweg",0,0,0,1,0,1,1
"327","Fontaine-l’Evêque","52022","Gemeenteweg",0,0,1,0,0,0,1
"328","Fontaine-l’Evêque","52022","Gewestweg",0,0,0,1,1,0,2
"329","Fosses-la-Ville","92048","Gemeenteweg",0,0,0,1,0,0,1
"330","Fosses-la-Ville","92048","Gewestweg",1,3,0,0,0,2,4
"331","Frameries","53028","Gemeenteweg",0,1,0,0,1,0,2
"332","Frasnes-lez-Anvaing","51065","Autosnelweg",1,0,0,1,0,0,2
"333","Frasnes-lez-Anvaing","51065","Gemeenteweg",0,0,0,1,0,0,1
"334","Frasnes-lez-Anvaing","51065","Gewestweg",0,0,2,0,1,0,3
"335","Froidchapelle","56029","Gemeenteweg",2,0,1,3,1,1,7
"336","Froidchapelle","56029","Gewestweg",0,0,0,0,1,0,1
"337","Froidchapelle","56029","onbekend",0,1,0,0,0,0,1
"338","Galmaarden","23023","Gewestweg",1,0,0,0,0,0,1
"339","Ganshoren","21008","Gemeenteweg",0,1,0,0,0,0,1
"340","Gavere","44020","Gemeenteweg",0,1,0,0,0,1,1
"341","Geel","13008","Autosnelweg",0,0,0,0,0,2,0
"342","Geel","13008","Gemeenteweg",1,0,1,2,0,2,4
"343","Geel","13008","Gewestweg",0,0,2,1,1,0,4
"344","Geer","64029","Gemeenteweg",0,0,0,0,1,0,1
"345","Geer","64029","Gewestweg",0,0,0,1,0,0,1
"346","Geetbets","24028","Gemeenteweg",0,0,1,0,0,1,1
"347","Geldenaken","25048","Gemeenteweg",0,0,1,0,0,0,1
"348","Geldenaken","25048","Gewestweg",1,0,0,2,0,0,3
"349","Gembloux","92142","Gemeenteweg",0,0,1,0,0,1,1
"350","Gembloux","92142","Gewestweg",2,0,1,1,1,2,5
"351","Genepiën","25031","Gemeenteweg",0,0,1,0,0,0,1
"352","Genepiën","25031","Gewestweg",3,1,2,0,0,0,6
"353","Genk","71016","Autosnelweg",0,0,1,0,0,0,1
"354","Genk","71016","Gemeenteweg",0,0,0,1,1,0,2
"355","Genk","71016","Gewestweg",1,3,3,2,3,5,12
"356","Genk","71016","onbekend",0,0,1,0,0,0,1
"357","Gent","44021","Autosnelweg",1,3,3,1,1,1,9
"358","Gent","44021","Gemeenteweg",1,1,2,6,4,6,14
"359","Gent","44021","Gewestweg",1,2,5,1,2,2,11
"360","Geraardsbergen","41018","Gemeenteweg",1,1,0,0,1,0,3
"361","Geraardsbergen","41018","Gewestweg",0,1,1,1,0,0,3
